Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,SalePrice
123,75,9464,8,7,1958,1958,135,136000
124,55,7892,8,5,1993,1993,0,153900
125,48,17043,8,5,1979,1998,0,181000
126,60,6780,8,8,1935,1982,0,84500
129,69,7590,8,5,1966,1966,266,155000
131,88,14200,8,6,1966,1966,309,226000
135,78,10335,8,6,1968,1993,0,180000
136,80,10400,8,6,1970,1970,288,174000
138,82,11070,8,5,1988,1989,70,171000
141,70,10500,8,5,1971,1971,0,115000
142,78,11645,8,5,2005,2005,0,260000
143,71,8520,8,4,1952,1952,0,166000
145,70,9100,8,5,1963,1963,336,125000
146,24,2522,8,5,2004,2006,50,130000
149,63,7500,8,5,2004,2005,120,141000
151,120,10356,8,6,1975,1975,0,122000
152,107,13891,8,5,2007,2008,436,372402
155,84,11340,8,5,1923,1950,0,125000
156,60,9600,8,5,1924,1950,0,79000
157,60,7200,8,7,1950,1950,0,109500
158,92,12003,8,5,2009,2010,84,269500
159,100,12552,8,5,2004,2005,0,254900
160,134,19378,8,5,2005,2006,456,320000
163,95,12182,8,5,2005,2005,226,220000
164,55,5500,8,6,1956,1956,0,103200
165,40,5400,8,7,1926,2004,0,152000
166,62,10106,8,7,1940,1999,0,127500
168,86,10562,8,5,2007,2007,300,325624
169,62,8244,8,5,2004,2004,0,183500
173,44,5306,8,7,1987,1987,0,239000
174,80,10197,8,5,1961,1961,491,163000
175,47,12416,8,5,1986,1986,132,184000
176,84,12615,8,7,1950,2001,0,243000
177,97,10029,8,5,1988,1989,268,211000
179,63,17423,8,5,2008,2009,748,501837
180,60,8520,8,6,1923,2006,0,100000
183,60,9060,8,6,1957,2006,98,120000
184,63,11426,8,5,2003,2003,0,200000
185,92,7438,8,8,1908,1991,0,127000
186,90,22950,8,9,1892,1993,0,475000
190,41,4923,8,5,2001,2002,0,286000
191,70,10570,8,8,1932,1994,0,315000
194,24,2522,8,5,2004,2004,50,130000
195,60,7180,8,7,1972,1972,0,127000
196,24,2280,8,6,1976,1976,0,148500
197,79,9416,8,5,2007,2007,205,311872
198,174,25419,8,4,1918,1990,0,235000
199,92,5520,8,6,1912,1950,0,104000
200,76,9591,8,5,2004,2005,262,274900
201,80,8546,8,5,2003,2004,0,140000
202,75,10125,8,6,1977,1977,0,171500
203,50,7000,8,6,1924,1950,0,112000
205,50,3500,8,7,1947,1950,0,110000
206,99,11851,8,5,1990,1990,0,180500
207,40,13673,8,5,1962,1962,0,143900
210,75,8250,8,7,1964,1964,260,145000
211,67,5604,8,6,1925,1950,0,98000
212,83,10420,8,5,2009,2009,0,186000
213,72,8640,8,5,2009,2009,0,252678
214,43,13568,8,5,1995,1995,0,156000
216,72,10011,8,6,1957,1996,64,134450
218,57,9906,8,4,1925,1950,0,107000
220,43,3010,8,5,2005,2006,16,167240
221,73,8990,8,5,2006,2006,0,204900
224,70,10500,8,6,1971,1971,0,97000
225,103,13472,8,5,2003,2003,922,386250
226,21,1680,8,5,1971,1971,142,112000
227,82,9950,8,5,1995,1995,290,290000
229,70,8521,8,5,1967,1967,0,125000
230,43,3182,8,5,2005,2006,16,192500
231,73,8760,8,6,1959,1959,220,148000
232,174,15138,8,5,1995,1996,506,403000
233,21,1680,8,5,1972,1972,297,94500
234,75,10650,8,6,1976,1976,0,128200
236,21,1680,8,3,1971,1971,604,89500
237,65,8773,8,5,2004,2004,98,185500
239,93,12030,8,5,2007,2007,254,318000
243,63,5000,8,4,1900,1950,0,79000
244,75,10762,8,6,1980,1980,0,120000
246,80,10400,8,5,1988,1988,102,241500
247,69,9142,8,8,1910,1950,0,137000
252,44,4750,8,5,2006,2007,481,235000
253,65,8366,8,5,2004,2004,0,173000
254,85,9350,8,7,1964,1991,108,158000
256,66,8738,8,5,1999,1999,302,230000
257,64,8791,8,5,2003,2003,0,207500
258,68,8814,8,5,2006,2006,180,220000
259,80,12435,8,5,2001,2001,172,231500
261,120,19296,8,5,1962,1962,399,176000
262,69,9588,8,5,2007,2007,270,276000
263,88,8471,8,7,1977,1995,46,151000
264,50,5500,8,7,1929,2001,0,130000
267,70,11207,8,5,1997,1997,0,185000
268,60,8400,8,8,1939,1997,0,179500
269,71,6900,8,6,1940,1955,0,120500
272,73,39104,8,7,1954,2005,0,241500
274,80,9600,8,6,1958,1988,183,139000
277,129,9196,8,5,2003,2003,0,201000
278,140,19138,8,5,1951,1951,0,141000
280,83,10005,8,5,1977,1977,299,192000
281,82,11287,8,6,1989,1989,340,228500
282,60,7200,8,5,2006,2006,68,185000
283,34,5063,8,5,2007,2008,166,207500
285,50,8012,8,5,1992,1992,0,179200
287,77,9786,8,7,1962,1981,0,159000
290,60,8730,8,7,1915,2003,0,153575
293,60,11409,8,4,1949,2008,0,131000
295,80,9600,8,5,1953,1953,238,167000
297,75,13710,8,5,1950,1950,0,152000
298,66,7399,8,5,1997,1998,1600,239000
299,90,11700,8,6,1968,1968,365,175000
300,80,14000,8,8,1950,2004,0,158500
301,90,15750,8,5,1953,1953,56,157000
302,66,16226,8,5,1998,1999,0,267000
303,118,13704,8,5,2001,2002,150,205000
306,80,10386,8,5,2004,2005,246,305900
307,116,13474,8,5,1990,1991,246,225000
310,90,12378,8,5,2003,2004,0,360000
312,50,8000,8,6,1948,2002,0,132000
313,65,7800,8,7,1939,1950,0,119900
314,150,215245,8,5,1965,1965,0,375000
315,60,9600,8,7,1925,1990,0,178000
317,94,13005,8,7,1980,1980,278,260000
318,75,9000,8,5,2006,2006,0,270000
319,90,9900,8,5,1993,1993,256,260000
322,99,12099,8,5,2004,2004,388,354000
323,86,10380,8,5,1986,1987,172,301000
324,49,5820,8,8,1955,2005,0,126175
325,96,11275,8,7,1967,2007,300,242000
326,50,5000,8,6,1941,1950,0,87000
327,32,10846,8,5,1993,1993,0,324000
328,80,11600,8,5,1960,1960,175,145250
330,60,6402,8,5,1920,1950,0,78000
332,70,8176,8,6,1958,1992,0,139000
333,85,10655,8,5,2003,2004,296,284000
334,59,8198,8,5,2004,2004,146,207000
335,59,9042,8,5,1998,1998,0,192000
337,86,14157,8,5,2005,2006,200,377426
338,70,9135,8,5,2002,2003,113,214000
339,91,14145,8,7,1984,1998,0,202500
340,66,12400,8,7,1958,1998,176,155000
341,85,14191,8,5,2002,2002,0,202900
342,60,8400,8,4,1950,1950,0,82000
345,36,2592,8,3,1976,1976,0,85000
346,65,6435,8,5,1939,1950,0,140200
351,68,7820,8,5,2007,2007,362,318061
353,60,9084,8,6,1941,1950,0,95000
354,60,8520,8,8,1928,2003,0,105900
355,60,8400,8,5,1940,2000,0,140000
359,92,6930,8,4,1958,1958,120,130000
360,78,12011,8,5,1998,1998,530,280000
364,21,1680,8,8,1972,2007,510,118000
366,59,10690,8,7,1920,1997,0,147000
369,78,7800,8,6,1954,1954,200,132000
372,80,17120,8,4,1959,1959,0,134432
373,50,7175,8,5,1984,1984,0,125000
374,79,10634,8,6,1953,1953,0,123000
375,65,8200,8,5,2003,2004,0,219500
377,57,8846,8,5,1996,1996,0,148000
379,88,11394,8,2,2010,2010,350,394432
381,50,5000,8,6,1924,1950,0,127000
383,79,9245,8,5,2006,2006,0,213500
386,43,3182,8,5,2004,2005,16,192000
387,58,8410,8,3,1910,1996,0,81000
388,72,7200,8,6,1976,1976,255,125000
389,93,9382,8,5,1999,2000,125,191000
391,50,8405,8,8,1900,1950,0,119000
392,71,12209,8,5,2001,2002,0,215000
396,68,9571,8,6,1956,1956,0,129000
397,60,7200,8,5,1972,1972,0,123000
398,69,7590,8,5,1962,1962,288,169500
400,65,8125,8,5,2006,2007,100,241000
402,65,8767,8,5,2005,2005,0,164990
403,60,10200,8,8,1940,1997,0,108000
404,93,12090,8,5,1998,1998,650,258000
407,51,10480,8,5,1936,1950,0,115000
409,109,14154,8,5,2006,2006,350,280000
410,85,10800,8,5,2007,2008,100,339750
411,68,9571,8,3,1958,1958,0,60000
412,100,34650,8,5,1955,1955,0,145000
414,56,8960,8,6,1927,1950,0,115000
417,74,7844,8,7,1978,1978,203,149500
418,86,22420,8,6,1918,1950,0,239000
419,60,8160,8,6,1940,1950,0,126000
423,100,21750,8,5,1954,1954,0,113000
425,72,9000,8,5,1956,1956,74,139000
428,77,8593,8,6,1957,1957,0,109008
430,130,11457,8,5,1988,1988,0,175000
431,21,1680,8,5,1971,1971,232,85400
432,60,5586,8,7,1920,1998,0,79900
433,24,1920,8,5,1971,1971,376,122500
434,100,10839,8,5,1997,1998,0,181000
435,21,1890,8,7,1972,1972,0,81000
436,43,10667,8,6,1996,1996,0,212000
437,40,4400,8,8,1920,1950,0,116000
439,40,4280,8,6,1913,2002,0,90350
441,105,15431,8,5,2008,2008,200,555000
442,92,12108,8,4,1955,1955,270,118000
443,52,6240,8,7,1930,1992,0,162900
444,53,3922,8,5,2006,2007,72,172500
445,70,8750,8,5,1994,1995,0,210000
446,73,9855,8,5,1956,1956,0,127500
447,137,16492,8,6,1966,2002,0,190000
449,50,8600,8,6,1937,1950,0,119500
451,70,5684,8,8,1930,2005,0,110000
452,62,70761,8,5,1975,1975,0,280000
454,75,9000,8,5,2008,2008,0,210000
455,63,9297,8,5,1976,1976,0,188000
456,80,9600,8,6,1973,1973,320,175500
457,34,4571,8,5,1916,1950,0,98000
462,60,7200,8,9,1936,2007,0,155000
464,74,11988,8,7,1934,1995,0,188700
465,60,8430,8,5,1978,1978,136,124000
467,85,10628,8,5,1970,1970,0,167000
469,98,11428,8,5,2006,2006,248,250000
470,76,9291,8,5,1993,1993,120,187000
472,92,11952,8,6,1977,1977,0,190000
473,35,3675,8,5,2005,2005,80,148000
474,110,14977,8,5,2006,2007,304,440000
475,41,5330,8,5,2000,2000,0,251000
477,75,13125,8,5,1997,1998,215,208900
479,79,10637,8,5,2007,2008,336,297000
480,50,5925,8,7,1937,2000,435,89471
481,98,16033,8,5,2004,2005,378,326000
482,72,11846,8,5,2003,2004,562,374000
487,79,10289,8,7,1965,1965,168,156000
488,70,12243,8,6,1971,1971,0,175000
489,60,10800,8,4,1900,1970,0,160000
492,79,9490,8,7,1941,1950,0,133000
493,105,15578,8,5,2006,2006,0,172785
495,50,5784,8,8,1938,1996,0,91300
496,60,7879,8,5,1920,1950,0,34900
498,60,9120,8,6,1925,1950,0,184000
499,65,7800,8,7,1967,2004,89,130000
500,70,7535,8,7,1958,1985,0,120000
501,21,1890,8,5,1973,1973,285,113000
502,75,9803,8,5,2005,2005,0,226700
503,70,9170,8,7,1965,1965,0,140000
504,100,15602,8,8,1959,1997,0,289000
505,24,2308,8,5,1974,1974,0,147000
508,75,7862,8,5,2009,2009,0,208300
513,70,9100,8,5,1958,1958,0,129900
514,71,9187,8,5,1983,1983,0,134000
515,55,10594,8,5,1926,1950,0,96500
516,94,12220,8,5,2009,2009,305,402861
518,79,10208,8,5,1996,1997,921,265000
523,50,5000,8,7,1947,1950,0,159000
524,130,40094,8,5,2007,2008,762,184750
525,95,11787,8,5,1996,1997,594,315750
526,62,7500,8,5,2005,2005,0,176000
528,67,14948,8,5,2008,2008,268,446261
531,85,10200,8,5,1988,1989,219,175000
532,60,6155,8,8,1920,1999,0,128000
535,74,9056,8,5,2004,2004,0,178000
537,57,8924,8,5,1998,1999,0,188000
544,34,4058,8,5,1998,1998,182,133000
545,58,17104,8,5,2006,2006,0,179665
547,70,8737,8,7,1923,1950,0,210000
548,54,7244,8,7,1970,1970,0,129500
549,49,8235,8,7,1955,1995,0,125000
550,75,9375,8,5,2003,2004,0,263000
551,53,4043,8,6,1977,1977,0,140000
552,50,6000,8,6,1957,1957,0,112500
555,85,10625,8,5,2003,2004,292,284000
556,58,6380,8,6,1922,1950,0,113000
557,69,14850,8,5,1957,1957,0,141000
558,60,11040,8,6,1920,1950,0,108000
562,77,10010,8,5,1974,1975,0,170000
564,66,21780,8,7,1918,1950,0,185000
566,66,6858,8,4,1915,1950,0,128000
567,77,11198,8,5,2005,2007,245,325000
568,70,10171,8,5,2004,2004,168,214000
569,79,12327,8,8,1983,2009,0,316600
572,60,7332,8,6,1959,1959,207,120000
574,76,9967,8,5,2000,2000,0,170000
575,70,10500,8,7,1971,2005,82,139000
576,80,8480,8,5,1947,1950,0,118500
577,52,6292,8,7,1928,1950,0,145000
578,96,11777,8,6,1966,1966,97,164500
580,81,12150,8,5,1954,1954,335,131500
582,98,12704,8,5,2008,2009,306,253293
587,55,10267,8,7,1918,2000,0,130000
588,74,8740,8,6,1982,1982,0,137000
589,65,25095,8,8,1968,2003,0,143000
591,64,8320,8,5,2004,2004,0,185900
592,97,13478,8,5,2008,2008,420,451950
593,60,6600,8,8,1982,2003,0,138000
595,88,7990,8,6,1975,1975,0,110000
596,69,11302,8,5,2005,2006,238,319000
597,60,3600,8,7,1910,1993,0,114504
598,53,3922,8,5,2006,2007,72,194201
599,80,12984,8,6,1977,1977,459,217500
600,24,1950,8,6,1980,1980,0,151000
601,74,10927,8,5,2005,2005,280,275000
602,50,9000,8,6,1937,1950,0,141000
603,80,10041,8,5,1992,1992,0,220000
604,30,3182,8,5,2004,2005,0,151000
605,88,12803,8,5,2002,2002,99,221000
606,85,13600,8,6,1965,1990,176,205000
607,82,12464,8,5,1996,1996,0,152000
608,78,7800,8,8,1948,2002,0,225000
615,21,1491,8,6,1972,1972,0,75500
616,80,8800,8,7,1963,1963,156,137500
619,90,11694,8,5,2007,2007,452,314813
621,45,8248,8,3,1914,1950,0,67000
622,90,10800,8,7,1974,1997,0,240000
623,71,7064,8,6,1977,1977,153,135000
625,80,10400,8,5,1972,1972,288,165150
626,87,10000,8,6,1962,1962,261,160000
629,70,11606,8,5,1969,1969,192,135000
630,82,9020,8,5,1964,1964,259,168500
631,50,9000,8,6,1880,1991,0,124000
632,34,4590,8,5,2006,2006,108,209500
633,85,11900,8,5,1977,1977,209,82500
634,80,9250,8,7,1954,2005,0,139400
636,60,10896,8,7,1914,1995,0,200000
637,51,6120,8,3,1936,1950,0,60000
639,67,8777,8,7,1910,1950,0,85000
640,53,3982,8,5,2006,2006,0,264561
641,62,12677,8,5,2003,2004,472,274000
643,75,13860,8,7,1972,1995,0,345000
644,80,10793,8,5,1969,1969,263,152000
645,85,9187,8,5,2009,2009,162,370878
647,60,7200,8,5,1950,1950,0,98300
648,85,10452,8,5,1953,1953,216,155000
649,70,7700,8,5,1966,1966,351,155000
650,21,1936,8,6,1970,1970,0,84500
651,65,8125,8,6,2007,2007,,205950
653,70,8750,8,5,1996,1996,0,191000
655,91,10437,8,6,1995,1995,660,350000
656,21,1680,8,5,1971,1971,381,88000
662,52,46589,8,7,1994,2005,528,402000
663,120,13560,8,3,1968,1968,216,110000
665,49,20896,8,5,2005,2006,0,423000
666,106,11194,8,5,2000,2000,40,230500
668,65,8125,8,5,1994,1998,258,193500
670,80,11600,8,5,1922,1950,0,137500
671,64,8633,8,5,2005,2005,0,173500
674,110,14442,8,7,1957,2004,106,257500
675,80,9200,8,6,1965,1965,0,140000
676,24,2289,8,6,1978,1978,0,148500
677,60,9600,8,2,1900,1950,0,87000
678,52,9022,8,8,1924,2006,0,109500
679,80,11844,8,5,2008,2008,464,372500
682,55,4500,8,5,1932,2000,0,159434
684,90,11248,8,5,2002,2002,215,285000
685,58,16770,8,5,1998,1998,30,221000
687,84,10207,8,6,2007,2007,0,227875
689,60,8089,8,6,2007,2007,0,392000
690,61,7577,8,5,2005,2006,256,194700
692,104,21535,8,6,1994,1995,1170,755000
694,60,5400,8,6,1921,1968,0,108480
695,51,6120,8,6,1936,1950,0,141500
696,54,13811,8,6,1987,1987,72,176000
698,57,6420,8,7,1952,1952,0,123500
699,65,8450,8,8,1965,2009,0,138500
701,85,14331,8,5,2002,2002,630,312500
703,82,12438,8,5,2006,2006,466,361919
706,70,5600,8,5,1930,1950,0,55000
708,48,6240,8,5,2006,2006,176,254000
709,65,9018,8,5,2007,2007,0,179540
711,56,4130,8,6,1935,2003,0,52000
712,66,8712,8,7,1900,1950,0,102776
713,40,4671,8,5,1988,1989,0,189000
716,78,10140,8,5,1974,1974,174,165000
717,60,10800,8,8,1890,1998,0,159500
718,80,10000,8,6,1973,2000,0,157000
719,96,10542,8,5,1993,1994,651,341000
720,69,9920,8,6,1969,1969,0,128500
723,70,8120,8,7,1970,1970,0,124500
725,86,13286,8,5,2007,2008,340,320000
728,64,7314,8,5,2007,2007,82,194500
729,85,11475,8,5,1958,1958,95,110000
730,52,6240,8,5,1925,1950,0,103000
732,73,9590,8,5,2003,2003,442,187500
733,75,11404,8,5,1998,1999,202,222500
734,80,10000,8,6,1961,1983,0,131400
736,60,10800,8,7,1914,1970,0,163000
738,72,10463,8,5,2005,2005,0,239900
739,60,10800,8,5,1987,1988,0,179000
744,70,12886,8,6,1963,1999,0,175000
750,50,8405,8,3,1945,1950,0,98000
751,55,8800,8,7,1910,2004,0,96500
753,79,9236,8,5,1997,1997,0,217000
754,80,10240,8,5,2005,2005,178,275500
755,61,7930,8,8,1969,2005,0,156000
756,34,3230,8,5,1999,1999,894,172500
757,68,10769,8,5,2007,2007,0,212000
759,24,2280,8,5,1999,1999,360,179400
760,65,12257,8,5,1995,1995,513,290000
761,70,9100,8,6,1959,1959,0,127500
762,60,6911,8,5,1924,1950,0,100000
764,82,9430,8,5,1999,1999,673,337000
765,30,9549,8,5,1995,1996,0,270000
767,80,10421,8,5,1988,1988,42,196500
768,75,12508,8,7,1940,1985,0,160000
772,67,8877,8,5,1951,1951,0,102000
773,94,7819,8,5,1976,1976,0,107000
775,110,14226,8,5,2006,2006,375,395000
778,100,13350,8,5,1974,1974,0,142500
780,78,10530,8,5,1977,1977,90,135000
781,63,7875,8,5,1995,1996,38,176000
782,65,7153,8,5,1992,1992,0,175900
783,67,16285,8,5,2001,2002,0,187100
788,76,10142,8,5,2004,2004,0,233000
789,50,6000,8,7,1954,2000,0,107900
793,92,9920,8,5,1996,1997,0,269790
794,76,9158,8,5,2007,2007,140,225000
796,70,8400,8,6,1980,1981,130,171000
797,71,8197,8,5,1977,1977,148,143500
798,57,7677,8,5,1953,1953,0,110000
801,79,12798,8,5,1997,1997,0,200000
802,40,4800,8,7,1916,1990,0,109900
805,75,9000,8,5,1954,1954,0,118000
808,144,21384,8,6,1923,2004,0,223500
809,85,13400,8,5,1966,1966,1047,159950
810,90,8100,8,5,1898,1965,0,106000
814,75,9750,8,6,1958,1958,243,157900
816,48,12137,8,5,1998,1998,442,224900
822,60,6000,8,4,1953,1953,0,93000
824,60,9900,8,7,1940,1950,0,139500
825,81,11216,8,5,2006,2006,0,232600
827,50,6130,8,6,1924,1950,0,109500
828,65,8529,8,5,2001,2001,0,189000
832,30,3180,8,5,2005,2005,0,151000
833,44,9548,8,6,2003,2003,223,237000
834,100,10004,8,6,1964,1964,180,167000
835,75,7875,8,6,1961,1961,136,139950
836,60,9600,8,7,1950,1995,0,128000
837,90,8100,8,6,1948,1973,0,153500
838,21,1680,8,5,1973,1973,158,100000
840,70,11767,8,6,1946,1995,0,130500
843,82,9020,8,7,1966,1966,183,174900
844,80,8000,8,4,1961,1961,0,141000
847,75,9317,8,5,1993,1993,137,213000
848,36,15523,8,6,1972,1972,0,133500
849,75,45600,8,8,1908,1997,0,240000
850,80,9600,8,7,1976,1994,360,187000
853,53,7128,8,5,1941,1950,0,164000
855,102,17920,8,4,1955,1974,0,170000
859,80,10400,8,5,1976,1976,189,152000
861,55,7642,8,8,1918,1998,0,189950
862,75,11625,8,4,1965,1965,0,131500
863,81,9672,8,5,1984,1985,0,152000
864,70,7931,8,5,1959,1959,0,132500
865,72,8640,8,5,2007,2008,0,250580
867,67,10656,8,5,2006,2007,274,248900
868,85,6970,8,5,1961,1961,0,129000
870,80,9938,8,5,1993,1994,246,236000
873,74,8892,8,7,1953,1996,0,116000
874,60,12144,8,7,1949,1950,0,133000
875,52,5720,8,6,1941,1950,0,66500
876,75,9000,8,5,2007,2007,0,303477
877,94,25286,8,5,1963,1963,0,132250
878,74,8834,8,5,2004,2005,216,350000
881,60,7024,8,5,2005,2006,0,157000
882,44,13758,8,5,1990,1991,117,187500
884,60,6204,8,5,1912,1950,0,118500
885,65,7150,8,5,1967,1967,60,100000
887,70,8393,8,5,1959,2005,122,145000
889,95,15865,8,6,1970,1970,0,268000
890,128,12160,8,4,1953,1953,90,149500
892,70,11184,8,5,1978,1978,92,172500
895,64,7018,8,5,1979,1979,0,118858
896,71,7056,8,5,1963,1963,415,140000
897,50,8765,8,6,1936,1950,0,106500
899,100,12919,8,5,2009,2010,760,611657
900,65,6993,8,7,1961,1994,0,135000
902,64,8712,8,7,1957,2000,0,153000
903,63,7875,8,5,2003,2003,0,180000
904,50,14859,8,5,2006,2006,27,240000
906,80,9920,8,5,1954,1954,110,128000
908,86,11500,8,7,1936,1987,0,250000
910,149,12589,8,5,2005,2005,0,174000
913,51,6120,8,7,1925,1950,0,88000
914,82,6270,8,6,1949,1950,0,145000
915,30,3000,8,5,2009,2009,76,173733
916,21,2001,8,5,1970,1970,80,75000
917,50,9000,8,3,1949,1950,0,35311
921,70,8462,8,5,1994,1994,105,201000
924,50,8012,8,5,1993,1994,0,193000
925,79,10240,8,6,1980,1980,157,207500
927,93,11999,8,5,2003,2004,340,285000
932,70,9100,8,6,1965,1965,0,117500
933,84,11670,8,5,2006,2006,302,320000
934,63,8487,8,5,2004,2004,210,190000
936,52,5825,8,5,1926,1953,108,79900
937,67,10083,8,5,2003,2003,,184900
938,75,9675,8,5,2005,2005,0,253000
944,100,25000,8,4,1967,1967,0,143000
947,70,8163,8,6,1959,1959,128,143000
948,85,14536,8,5,2002,2003,236,270000
951,60,7200,8,8,1950,2002,0,129000
952,60,7800,8,5,1965,1965,0,119900
955,35,9400,8,5,1975,1975,250,127500
956,82,7136,8,6,1946,1950,423,145000
958,70,7420,8,5,1962,1962,0,132000
960,24,2572,8,5,1999,1999,0,155000
961,50,7207,8,7,1958,2008,0,116500
963,24,2308,8,6,1976,1976,0,155000
965,80,11316,8,5,2002,2003,44,214900
966,65,10237,8,5,2005,2007,0,178900
971,60,10800,8,4,1949,1950,0,135000
972,36,2268,8,5,2003,2004,106,173000
975,60,11414,8,8,1910,1993,0,167500
977,51,5900,8,7,1923,1958,0,85500
980,80,8816,8,6,1963,1963,0,139000
982,98,12203,8,5,1998,1999,975,336000
983,43,3182,8,5,2007,2007,16,159895
986,68,10880,8,5,1950,1950,0,125000
987,59,5310,8,8,1910,2003,0,117000
993,80,9760,8,8,1964,1993,340,187000
994,68,8846,8,5,2005,2006,0,173900
996,51,4712,8,7,1946,1950,0,121600
999,60,9786,8,4,1922,1950,0,91000
1000,64,6762,8,5,2006,2006,24,206000
1001,74,10206,8,3,1952,1952,0,82000
1005,43,3182,8,5,2005,2006,16,181000
1008,21,2217,8,4,1970,1970,0,88000
1009,43,12118,8,5,2004,2005,108,240000
1010,60,6000,8,5,1926,1950,0,102000
1011,115,21286,8,5,1948,1950,0,135000
1015,60,11664,8,5,1948,1950,206,119200
1016,70,8400,8,6,2001,2001,0,227000
1017,73,11883,8,5,1996,1996,196,203000
1020,43,3013,8,5,2005,2005,145,213490
1021,60,7024,8,5,2005,2005,0,176000
1022,64,7406,8,5,2006,2006,84,194000
1023,52,9439,8,5,1930,1950,0,87000
1026,70,7700,8,5,1972,1972,0,112500
1028,71,9520,8,5,2007,2008,338,293077
1037,89,12898,8,5,2007,2008,70,315500
1041,88,13125,8,4,1957,2000,67,155000
1044,86,11839,8,5,1990,1990,99,262280
1045,80,9600,8,5,1981,1981,0,278000
1047,85,16056,8,5,2005,2006,208,556581
1048,57,9245,8,5,1994,1995,0,145000
1050,60,11100,8,7,1946,2006,0,84900
1051,73,8993,8,5,2007,2007,0,176485
1053,100,9500,8,6,1964,1978,272,165000
1054,68,8562,8,6,1957,2002,145,144500
1055,90,11367,8,5,2002,2002,210,255000
1056,104,11361,8,5,1976,1976,160,180000
1057,43,7052,8,5,2005,2005,240,185850
1059,96,11308,8,5,2008,2008,154,335000
1061,41,4920,8,5,2001,2001,0,213500
1063,85,13600,8,5,1900,1950,0,90000
1064,50,6000,8,6,1925,1980,0,110500
1066,80,14000,8,5,1996,1997,0,328000
1067,59,7837,8,7,1993,1994,0,178000
1069,42,3964,8,4,1973,1973,0,151400
1071,72,10152,8,5,1956,1956,120,135000
1073,50,7585,8,3,1948,1950,0,91500
1074,75,7950,8,6,1977,1977,140,159500
1075,74,8556,8,5,2006,2006,0,194000
1076,75,13125,8,6,1940,1984,0,219500
1077,60,10800,8,8,1936,1989,0,170000
1079,37,4435,8,5,2004,2004,169,155900
1081,80,11040,8,7,1971,2004,144,145000
